%time,field.O_x,field.O_y,field.O_t,field.I_t,field.G_x,field.G_y
258,1.62041,-0.75764,0.332878,0.245137,1.52374,-0.807534
259,1.62897,-0.754793,0.332878,0.244765,1.52374,-0.807534
260,1.6311,-0.754087,0.332878,0.244796,1.52374,-0.807534
261,1.64347,-0.749791,0.332878,0.244509,1.60625,-0.79426
262,1.65063,-0.747356,0.332878,0.244353,1.60797,-0.793983
263,1.65526,-0.745781,0.332878,0.24458,1.60797,-0.793983
264,1.67316,-0.739643,0.332878,0.244823,1.60797,-0.793983
265,1.67859,-0.737758,0.332878,0.244787,1.60797,-0.793983
266,1.68704,-0.734824,0.332878,0.244573,1.60797,-0.793983
267,1.69091,-0.73348,0.332878,0.244417,1.60797,-0.793983
268,1.71737,-0.724126,0.332878,0.244487,1.64107,-0.781021
269,1.71925,-0.723453,0.332878,0.244443,1.64107,-0.781021
270,1.73152,-0.719049,0.332878,0.244154,1.64107,-0.781021
271,1.74004,-0.716537,0.332878,0.243995,1.64107,-0.781021
272,1.74699,-0.71449,0.332878,0.243815,1.64107,-0.781021
273,1.75796,-0.710552,0.332878,0.243442,1.64107,-0.781021
274,1.76114,-0.709413,0.332878,0.243384,1.64107,-0.781021
275,1.77621,-0.703937,0.332878,0.243223,1.72505,-0.761734
276,1.77892,-0.702977,0.332878,0.243189,1.7463,-0.756854
277,1.78697,-0.700133,0.332878,0.243037,1.7463,-0.756854
278,1.79234,-0.698235,0.332878,0.243043,1.7463,-0.756854
279,1.80267,-0.694583,0.332878,0.243217,1.7463,-0.756854
280,1.81252,-0.691101,0.332878,0.243343,1.7463,-0.756854
281,1.81591,-0.689906,0.332878,0.243366,1.7463,-0.756854
282,1.82456,-0.687226,0.332878,0.243358,1.77563,-0.743817
283,1.83687,-0.682949,0.332878,0.243392,1.7868,-0.738854
284,1.84029,-0.681787,0.332878,0.24346,1.7868,-0.738854
285,1.84827,-0.679071,0.332878,0.243363,1.7868,-0.738854
286,1.85215,-0.677726,0.332878,0.24335,1.7868,-0.738854
287,1.86059,-0.674793,0.332878,0.243072,1.7868,-0.738854
288,1.8847,-0.66642,0.332878,0.243198,1.83405,-0.720862
289,1.89009,-0.664517,0.332878,0.243227,1.86582,-0.708764
290,1.89819,-0.661655,0.332878,0.243228,1.86582,-0.708764
291,1.90363,-0.659734,0.332878,0.243285,1.86582,-0.708764
292,1.91169,-0.656884,0.332878,0.243394,1.86582,-0.708764
293,1.91716,-0.654951,0.332878,0.243522,1.86582,-0.708764
294,1.92492,-0.652207,0.332878,0.243598,1.86582,-0.708764
295,1.93713,-0.647893,0.332878,0.2434,1.86582,-0.708764
296,1.94449,-0.64572,0.332878,0.243481,1.86582,-0.708764
297,1.95271,-0.64337,0.332878,0.243604,1.88274,-0.70307
298,1.95919,-0.641044,0.332878,0.24367,1.89654,-0.698428
299,1.96686,-0.638293,0.332878,0.243489,1.89654,-0.698428
300,1.9736,-0.635873,0.332878,0.243455,1.89654,-0.698428
301,1.98101,-0.633217,0.332878,0.243187,1.89654,-0.698428
302,1.98803,-0.630696,0.332878,0.243395,1.89654,-0.698428
303,1.99516,-0.62814,0.332878,0.243301,1.89654,-0.698428
304,2.00664,-0.624019,0.332878,0.243131,1.89654,-0.698428
